id,name,gender,member_since,year_of_birth,place_of_birth,genres
55,Tom Rob Smith,male,April 11 2014,1969,Israel,literature-fiction$detective-mystery
56,Rainy Kaye,female,April 26 2017,1969,Latvia,paranormal
57,Tom Franklin,male,February 3 2010,1982,Papua,literature-fiction
58,Kate Summerscale,female,November 18 2007,1981,Kosovo,biographies-memoirs$nonfiction
59,Carolyn Ives Gilman,female,September 3 2009,1981,Yemen,science-fiction-fantasy
60,William  Gibson,male,December 16 2016,1975,Malawi,theater
61,Adalbert Stifter,male,September 23 2011,1956,Colombia,fiction$poetry
62,Glynis Cooney,female,October 5 2012,1961,Chad,historical-fiction$young-adult
63,Bill Simmons,male,March 28 2009,1987,Grenada,sports$entertainment
64,Kameron Hurley,female,April 20 2019,1965,Japan,science-fiction
65,Sharan Newman,female,January 12 2010,1982,Italy,mystery-thrillers
66,Rebecca Solnit,female,September 23 2008,1973,Ethiopia,non-fiction$memoir
67,Nilam Suri,male,November 16 2010,1959,Vanuatu,fiction
68,B.B. Easton,female,September 8 2018,1972,Tunisia,romance$memoir
69,Elena Aitken,female,April 23 2015,1971,Togo,romance
70,Mia Ikumi,male,August 15 2019,1983,Yemen,manga$romance
71,Arthur Rimbaud,male,July 7 2011,1982,Israel,poetry
72,Marcus Buckingham,male,December 8 2007,1954,Honduras,business-investing
73,Brock Clarke,male,December 22 2010,1950,Croatia,literature-fiction$short-stories
74,Ann-Marie MacDonald,female,October 18 2016,1973,Malawi,fiction$plays
75,Alan McDermott,male,August 6 2008,1976,Lebanon,mystery-thrillers$literature-fiction
76,Andy Riley,male,December 24 2007,1982,St Lucia,comics-graphic-novels
77,Tonya Burrows,female,October 3 2009,1992,Oman,romance
78,Adam Santo,male,April 17 2015,1955,Lithuania,literature-fiction
79,Johann David Wyss,male,October 7 2007,1960,Scottish,children-s
80,Curtis Sittenfeld,female,January 19 2019,1959,Mongolia,literature-fiction
81,Tayeb Salih,male,October 12 2014,1969,San Marino,literature-fiction$short-stories$politics
82,James Kelman,male,March 24 2011,1990,Azerbaijan,literature-fiction$short-stories$politics
83,Ta-Nehisi Coates,male,August 5 2010,1950,Benin,nonfiction
84,Tera Lynn Childs,female,November 12 2008,1955,Cambodia,young-adult
85,Christopher  Morley,male,September 6 2018,1956,Madagascar,literature-fiction$nonfiction
86,Cora Harrison,female,May 21 2010,1975,Seychelles,mystery-thrillers$children-s-books
87,Sarah Ockler,female,December 18 2017,1965,Mali,young-adult
88,O. Henry,male,June 25 2017,1978,Lithuania,short-stories$humor$mystery-thrillers
89,Ayaan Hirsi Ali,female,July 16 2011,1954,Samoa,biographies-memoirs
90,Kelley York,female,May 10 2012,1983,Ghana,young-adult
91,Malcolm Lowry,male,September 7 2019,1970,Swaziland,literature-fiction$poetry
92,Nikki Loftin,female,May 23 2015,1993,Germany,literature-fiction
93,Riley Mackenzie,male,January 4 2019,1978,America,romance
94,Chuck Black,male,January 6 2016,1991,America,fiction$allegory
95,Suzy Becker,female,October 16 2012,1954,Netherlands,children-s
96,Ann Charles,male,May 28 2010,1980,Israel,mystery
97,Jack McDevitt,male,December 2 2015,1998,East Timor,science-fiction-fantasy
98,Fae Sutherland,female,January 13 2012,1967,Pakistan,gay-lesbian
99,Madeleine L'Engle,female,May 9 2016,1957,Moldova,literature-fiction$science-fiction-fantasy
100,Evan Dorkin,male,December 24 2017,1971,Somalia,comics-graphic-novels
101,N.K. Jemisin,male,July 4 2017,1968,Nepal,science-fiction-fantasy
102,Elisabeth Staab,female,September 23 2017,1978,Samoa,romance
103,Jane Harper,male,November 21 2010,1988,South Sudan,mystery
104,S.H. Kolee,male,May 1 2011,1974,India,romance
105,Kelli McCracken,female,February 8 2011,1977,St Kitts,romance
106,Anne Stuart,female,July 5 2016,1990,United States,romance$mystery-thrillers
107,Julie Garwood,female,June 28 2009,1955,Kenya,romance
108,Penny Hancock,female,November 24 2016,1978,Saudi Arabia,fiction
109,Tom   Savage,male,April 20 2009,1972,Samoa,mystery$suspense
110,Robert Kurson,male,August 1 2011,1998,Trinidad,non-fiction
111,Helen Hooven Santmyer,female,January 28 2016,1953,Herzegovina,historical-fiction$literature-fiction
112,Jody Hedlund,female,January 18 2019,1987,Senegal,historical-fiction
113,L.P. Dover,female,September 17 2016,1996,Luxembourg,romance
114,John Gwynne,male,December 5 2016,1979,Samoa,science-fiction-fantasy
115,Katie Klein,female,February 19 2017,1952,Mongolia,young-adult$literature-fiction
116,J. Sterling,male,March 7 2019,1955,Poland,new-adult
117,Diarmaid MacCulloch,male,April 5 2014,1996,Togo,history$religion
118,Celeste Bradley,female,August 15 2007,1993,China,romance
119,Sam Lipsyte,male,November 2 2016,1960,Belgium,literature-fiction$humor
120,Gustave Flaubert,male,November 14 2014,1958,Zambia,fiction
121,Henri Barbusse,male,August 12 2012,1956,Comoros,literature-fiction
122,Olive Ann Burns,female,May 26 2019,1972,Holland,literature-fiction
123,K.E.  Lane,female,April 11 2008,1979,Tanzania,lesbian-romance
124,Charlotte Stein,female,September 15 2011,1985,Singapore,romance$science-fiction-fantasy
125,Luanne Rice,female,January 3 2013,1975,Andorra,fiction
126,Sydney Taylor,female,January 17 2019,1974,British,children-s-books
127,Tracie Peterson,female,February 17 2013,1955,Central African Republic,historical-fiction$religion-spirituality
128,Franz Kafka,male,June 17 2011,1990,Belgium,fiction$philosophy$short-stories
129,Tahereh Mafi,female,July 24 2014,1959,Congo,science-fiction
130,Carole Wilkinson,female,November 21 2012,1985,Armenia,fantasy
131,Felix Abt,male,April 23 2019,1983,Vietnam,non-fiction
132,Gail Carson Levine,female,December 3 2011,1964,Qatar,children-s-books$science-fiction-fantasy
133,Diamante Lavendar,male,December 22 2008,1962,Italy,fiction
134,Mary Jane Ward,male,January 19 2013,1981,Syria,fiction
135,Sofia Samatar,female,April 2 2019,1998,Switzerland,literature-fiction$fantasy
136,Julia Serano,male,August 24 2013,1965,Brunei,women-gender-studies$gay-and-lesbian
137,Brian Michael Bendis,male,June 5 2012,1956,South Sudan,comics-graphic-novels
138,Erma Bombeck,female,July 11 2017,1982,Kosovo,nonfiction
139,Rochelle Maya Callen,male,October 6 2009,1956,Bhutan,young-adult
140,Leslea Wahl,female,September 27 2019,1973,Panama,young-adult
141,Gayle Forman,female,August 9 2013,1976,Chad,young-adult
142,Edward W. Said,male,October 7 2012,1960,Turkey,non-fiction
143,K. Bromberg,male,January 22 2014,1982,Slovakia,romance
144,Phillipa Ashley,male,July 13 2013,1981,Pakistan,fiction
145,Sally O'Reilly,female,March 20 2009,1997,Hungary,fiction
146,Brother Andrew,male,February 1 2012,1989,South Africa,religion-spirituality$christian
147,Eileen Dreyer,female,June 5 2018,1969,Marshall,mystery-thrillers
148,Stieg Larsson,male,May 26 2014,1960,Liechtenstein,literature-fiction$mystery-thrillers
149,Lois Lowry,male,August 13 2014,1951,Sudan,children-s-books$literature-fiction
150,Anita Loos,female,June 7 2015,1964,Andorra,literature-fiction$biographies-memoirs
151,Michelle Magorian,female,April 4 2011,1999,Marshall,children-s-books
152,Jill Eileen Smith,female,August 12 2018,1960,Philippines,biblical-fiction
153,John Crowley,male,December 25 2011,1979,Dominica,science-fiction-fantasy
154,Jeremy Flagg,male,April 22 2011,1963,El Salvador,science-fiction
155,Tom   Turner,male,February 9 2007,1990,Holland,fiction
156,Karen Horney,male,March 23 2014,1991,Lithuania,psychology$psychoanalysis$women-gender-studies
157,Bram Stoker,male,July 2 2012,1986,Brunei,horror
158,Harry James Fox,male,November 17 2008,1961,Lithuania,fiction
159,Shelly Bell,female,June 23 2009,1978,Ecuador,romance
160,Shanna Hatfield,female,September 23 2013,1953,Panama,romance
161,Lisa Unger,female,April 4 2007,1985,Moldova,mystery
162,Michael  Pierce,male,May 2 2009,1987,Samoa,young-adult
163,Amanda Marrone,female,January 26 2014,1963,Czech,children-s-books$young-adult
164,Darren Endymion,male,December 2 2010,1956,Chad,paranormal$gay-and-lesbian
165,Renée Ahdieh,male,January 19 2011,1970,Gambia,young-adult
166,Shilpi Somaya Gowda,female,September 26 2009,1981,Ghana,literature-fiction
167,Pete Hamill,male,August 6 2017,1981,Cape Verde,biographies-memoirs$literature-fiction
168,Anne  Barton,female,November 16 2007,1960,India,romance
169,Peter Gent,male,October 16 2010,1977,Tajikistan,sports$fiction
170,David Hackett Fischer,male,October 17 2018,1984,Ecuador,history
171,Eric R. Kandel,male,October 13 2008,1994,Burundi,science$biographies-memoirs
172,Robert Lawson,male,April 1 2011,1992,Lithuania,children-s
173,Shayla Kersten,female,August 22 2012,1960,Israel,gay-lesbian$romance
174,Iain M. Banks,male,April 14 2013,1953,Jamaica,science-fiction
175,Patrick Carman,male,November 3 2017,1977,Uzbekistan,young-adult$children-s-books
176,Andrew Seaward,male,February 6 2018,1960,Saudi Arabia,literature-fiction$humor
177,Mayandree Michel,female,August 3 2015,1970,Iceland,ya-paranormal-romance$historical-urban-fantasy
178,Chris Abouzeid,male,April 12 2010,1998,Yemen,young-adult$children-s-books
179,Janice Galloway,female,December 17 2013,1950,Emirate,fiction$memoir
180,M.H. Herlong,female,January 17 2017,1970,Tonga,fiction$young-adult
181,Mike Gold,male,April 9 2013,1977,Netherlands,comics-graphic-novels
182,Meredith Daniels,male,October 4 2012,1963,Palau,gay-and-lesbian
183,James E. Talmage,male,July 13 2016,1977,Switzerland,religion-spirituality
184,Ashley Suzanne,female,October 15 2014,1991,Tanzania,romance
185,Herodotus,male,August 3 2017,1964,Qatar,history$non-fiction
186,Debra Dockter,male,November 23 2009,1956,Solomon,young-adult
187,Wendell Berry,male,February 19 2011,1987,Holland,poetry$literature-fiction$outdoors-nature
188,Chloe Neill,female,September 2 2012,1970,Latvia,science-fiction-fantasy$young-adult
189,Santino Hassell,male,November 9 2009,1972,Mozambique,gay-lesbian
190,Joey W. Hill,female,May 22 2011,1967,Bahamas,bdsm-romance
191,Zenna Henderson,female,February 3 2013,1956,Czech,science-fiction-fantasy
192,Marie Force,female,February 9 2010,1991,Armenia,romance
193,Colleen Houck,female,May 23 2012,1998,Lesotho,romance
194,Sarah Diemer,male,April 21 2009,1977,Tobago,young-adult
195,Amélie Nothomb,female,January 24 2009,1963,Macedonia,literature-fiction
196,Eliza Tilton,female,August 7 2008,1968,Zimbabwe,young-adult
197,Amy  Stewart,female,June 3 2013,1958,Slovenia,non-fiction
198,Tiffanie DeBartolo,female,December 17 2010,1976,Herzegovina,fiction
199,Rachel Cohn,female,July 24 2011,1992,Haiti,young-adult
200,Ashwin Sanghi,male,May 24 2015,1989,Grenada,historical-fiction
201,K.C. Blake,male,February 11 2012,1996,Bissau,young-adult$science-fiction$fantasy
202,William Gibson,male,July 25 2008,1985,Morocco,science-fiction
203,Samuel Snoek-Brown,male,February 18 2010,1992,Czech,literature-fiction
204,Barry Hughart,male,July 19 2007,1986,Gambia,science-fiction-fantasy
205,Ian Frazier,male,November 8 2016,1950,British,nonfiction
206,Robin Paige,male,August 3 2019,1990,England,mystery-thrillers
207,Balli Kaur Jaswal,female,November 23 2014,1988,Mexico,contemporary$historical-fiction
208,Vincent Bugliosi,male,December 22 2015,1971,Czech,nonfiction$mystery-thrillers
209,Amy Finnegan,female,April 5 2016,1990,Japan,young-adult
210,Lemony Snicket,male,December 16 2016,1994,Luxembourg,children-s-books$mystery-thrillers
211,Elizabeth Norris,female,January 27 2010,1999,Kuwait,young-adult
212,Nikos Kazantzakis,male,June 4 2013,1967,Rwanda,literature-fiction$philosophy
213,Beth Revis,female,November 11 2017,1977,Norway,young-adult$science-fiction-fantasy
214,Kathleen  Barber,female,December 27 2016,1982,Benin,suspense
215,Thomas More,male,August 14 2014,1983,Liechtenstein,philosophy$catholicism
216,Linus Suryadi,male,September 7 2014,1976,Samoa,poetry
217,Jaclyn Dolamore,female,September 24 2014,1951,Antigua,young-adult$science-fiction-fantasy
218,Lindsay Buroker,male,September 13 2014,1979,Singapore,fantasy$science-fiction
219,Samantha Stemler,female,March 13 2011,1977,Swaziland,young-adult
220,Lynetta Halat,female,January 9 2019,1999,Armenia,fiction$romance
221,S.J. Frost,female,May 9 2012,1991,Holland,gay-lesbian
222,Karen Whitelaw Smith,female,October 26 2007,1981,Sudan,nonfiction$health-mind-body
223,Jeff Smith,male,May 4 2017,1950,Senegal,comics-graphic-novels
224,Jaclyn Friedman,male,December 1 2010,1953,Sudan,poetry
225,Seth Grahame-Smith,male,November 22 2011,1959,East Timor,horror$literature-fiction
226,Marisa Calin,female,December 27 2017,1959,Somalia,young-adult
227,Brian Greene,male,December 2 2018,1967,Mauritania,science
228,Susan  Wilson,male,April 25 2015,1966,Samoa,literature-fiction
229,Poppy Z. Brite,male,August 19 2018,1955,Marshall,horror$literature-fiction
230,Mark  Thompson,male,October 15 2017,1988,Afghanistan,history
231,Devon Monk,female,April 6 2011,1955,United States,science-fiction-fantasy
232,Leo Tolstoy,male,November 8 2019,1954,Brunei,fiction$philosophy$non-fiction
233,Patrick Donovan,male,September 21 2018,1962,Oman,fantasy
234,Mia Castile,female,January 14 2019,1969,Grenada,young-adult$new-adult
235,M.A. Stacie,female,June 6 2014,1981,Indonesia,romance
236,Gene Wolfe,male,August 9 2008,1986,Tajikistan,literature-fiction$science-fiction-fantasy
237,Tasaro G.K.,male,February 18 2017,1972,Norway,literature-fiction$historical-fiction$nonfiction
238,Cinda Williams Chima,female,July 11 2016,1963,Tanzania,literature-fiction
239,Chuck Gallagher,male,November 21 2007,1960,Finland,self-help
240,Emme Rollins,female,August 7 2009,1971,Barbados,fiction
241,James Clavell,male,November 19 2008,1973,Ireland,historical-fiction
242,Travis Bradberry,male,April 12 2011,1997,Djibouti,biography
243,K.N. Lee,female,October 28 2014,1990,Algeria,fantasy
244,Kerry O'Malley Cerra,female,October 28 2016,1963,Denmark,children-s
245,Sierra Dean,female,August 26 2010,1970,Tanzania,science-fiction-fantasy$romance
246,Alice Oswald,female,April 8 2014,1976,Niger,poetry
247,Damon Suede,male,December 21 2009,1973,Kyrgyzstan,gay-lesbian
248,John Ringo,male,March 23 2015,1995,Croatia,science-fiction-fantasy
249,Leigh Evans,male,June 26 2011,1973,Central African Republic,paranormal
250,Sidney Sheldon,male,September 20 2012,1958,Monaco,literature-fiction$mystery-thrillers$children-s-books
251,Kazuma Kodaka,female,July 26 2014,1982,Vatican,manga$gay-and-lesbian$romance
252,Jami Brumfield,female,June 24 2010,1995,South Sudan,fantasy$paranormal
253,Lola Stark,female,April 17 2017,1974,Namibia,erotica
254,Andrew Clements,male,September 1 2011,1950,Solomon,children-s-books
255,Jordan Castillo Price,female,February 17 2018,1992,Burma,horror$gay-lesbian
256,Michelle   Cooper,female,February 10 2015,1989,Angola,young-adult
257,Diane Mae Robinson,male,December 9 2017,1962,Malta,children-s
258,Julia Heaberlin,female,July 5 2007,1967,America,fiction
259,Walter Farley,male,July 19 2008,1963,Armenia,children-s$fiction
260,Megan McCafferty,male,August 21 2019,1959,Montenegro,young-adult
261,Jaime Rush,male,October 14 2007,1996,Togo,romance
262,Shaun Hutson,male,December 11 2013,1954,Great Britain,literature-fiction$horror
263,Matt Rees,male,January 20 2012,1969,Mali,mystery-thrillers
264,Ally Carter,female,May 1 2018,1987,Benin,young-adult
265,Melody Grace,male,July 3 2008,1975,St Lucia,romance$contemporary
266,Terri Blackstock,female,March 6 2014,1985,Brunei,religion-spirituality
267,Eric Shonkwiler,male,December 27 2014,1973,Grenadines,contemporary
268,Penny Watson,female,July 10 2013,1998,Scottish,fiction$humor-and-comedy
269,Clayton M. Christensen,male,January 1 2019,1966,British,innovation
270,Lorie Ann Grover,female,July 4 2008,1968,Tanzania,literature-fiction
271,J.K. Accinni,male,April 21 2011,1993,New Zealand,paranormal
272,Michael  Grant,male,March 23 2010,1976,Sweden,young-adult
273,Anatoli Rybakov,male,October 13 2019,1974,Eritrea,history$historical-fiction
274,Allie Larkin,female,September 23 2007,1974,Djibouti,literature-fiction$humor
275,Greer Macallister,female,February 22 2011,1989,Netherlands,historical-fiction
276,Jay Northcote,male,July 16 2008,1975,Liechtenstein,romance
277,Timothy Zahn,male,April 3 2014,1962,Georgia,science-fiction-fantasy
278,Regan Walker,male,April 26 2007,1995,Palau,historical-romance
279,Emily Murdoch,female,August 28 2008,1967,Korea,young-adult
280,Molly Gloss,male,February 18 2008,1972,Oman,literature-fiction$science-fiction-fantasy
281,David Markson,male,November 23 2007,1978,Maldives,literature-fiction$poetry$nonfiction
282,Joshua Zeitz,male,March 19 2014,1966,Bissau,history
283,Elizabeth Ellen Carter,male,July 23 2013,1986,Canada,romance
284,Mary Norton,female,April 14 2015,1983,Libya,literature-fiction$children-s-books
285,Elizabeth Cunningham,male,June 6 2016,1965,Sudan,historical-fiction
286,Robert D. Kaplan,male,May 5 2018,1965,England,history$politics
287,Mark Klempner,male,May 13 2012,1994,San Marino,history
288,Lisa Cach,female,March 7 2007,1971,Eritrea,romance
289,M.K. England,female,July 2 2017,1997,Mali,young-adult
290,Eric Berne,male,January 16 2010,1951,South Africa,psychology$psychotherapy-psychoanalysis$transactional-analysis
291,Masami Tsuda,male,December 12 2013,1978,Bhutan,comics-graphic-novels$romance
292,Teresa Orts,male,June 21 2015,1954,France,young-adult
293,Christine M. Knight,male,April 17 2009,1975,Egypt,literature-fiction
294,James  Jones,male,July 7 2017,1968,St Lucia,literature-fiction$biographies-memoirs
295,Cheryl Strayed,female,November 1 2012,1957,Liechtenstein,literature-fiction
296,Giles Milton,male,July 22 2018,1960,Gambia,nonfiction
297,Heather Davis,female,September 18 2012,1959,Bhutan,young-adult
298,Avery Aames,female,February 9 2016,1969,Mali,mystery-thrillers
299,Judith Butler,female,July 24 2015,1978,Trinidad,philosophy$women-gender-studies$gay-lesbian
300,Kelly Anne Blount,female,February 4 2013,1953,Papua,young-adult
301,Cat Gardiner,female,October 9 2014,1996,Mauritius,romance
302,Federico García Lorca,male,August 21 2009,1975,Seychelles,poetry$literature-fiction
303,Alfred Hitchcock,male,August 5 2014,1993,Paraguay,mystery-thrillers$horror
304,Charity Parkerson,female,July 17 2018,1977,America,romance
305,Neal Gabler,male,January 14 2013,1987,Niger,biographies-memoirs$history
306,Lauren Child,female,June 17 2010,1976,Zambia,children-s-books
307,Tony DiTerlizzi,male,October 5 2016,1961,Burkina,children-s-books
308,M.T. Anderson,male,February 21 2016,1952,Tobago,children-s-books
309,Alison Croggon,female,February 16 2010,1985,Ghana,fantasy
310,Chris Claremont,male,June 11 2016,1985,Eritrea,comics-graphic-novels$science-fiction-fantasy
311,Debra Kayn,female,August 13 2011,1975,Philippines,romance
312,Kristy  Marie,female,January 7 2014,1968,Indonesia,romance
313,Jamie Fessenden,male,November 17 2014,1954,Emirate,gay-lesbian
314,Rachel Hollis,female,April 28 2007,1964,Uruguay,chick-lit
315,Dashiell Hammett,male,November 6 2014,1962,Palau,mystery-thrillers
316,Heinrich Böll,male,June 5 2013,1990,China,literature-fiction$travel$short-stories
317,Laura Lee Guhrke,female,May 15 2010,1961,Austria,romance
318,Jennifer Hillier,female,January 22 2018,1959,Liberia,mystery-thrillers
319,J.R. Lenk,male,August 1 2013,1965,Philippines,young-adult$horror$gay-lesbian
320,Roy A. Mauritsen,male,March 22 2009,1953,Ivory Coast,fantasy
321,Ned Vizzini,male,June 4 2014,1963,Netherlands,young-adult
322,Meredith Wild,female,March 22 2019,1980,Luxembourg,romance
323,Bill Willingham,male,January 17 2008,1987,Niger,comics-graphic-novels
324,Arturo Pérez-Reverte,male,June 1 2009,1972,Bosnia,literature-fiction
325,Dorothy Baker,female,January 2 2015,1993,Bulgaria,literature-fiction
326,Ann Aguirre,female,July 16 2018,1957,Namibia,science-fiction-fantasy$romance
327,Victoria Denault,female,October 26 2017,1965,Greece,romance
328,Terry Teachout,male,May 17 2010,1979,Liechtenstein,biographies-memoirs$arts-photography
329,May Sarton,female,November 27 2015,1993,Guinea,poetry
330,Tricia Goyer,female,June 5 2017,1975,Austria,religion-spirituality
331,Guy Gavriel Kay,male,July 22 2008,1978,Wales,science-fiction-fantasy
332,Scott O'Dell,male,March 21 2018,1971,Tunisia,children-s-books$historical-fiction
333,Cyn Balog,female,April 4 2018,1998,Dominica,young-adult$paranormal
334,Carla J. Hanna,female,April 17 2013,1962,Mongolia,young-adult
335,Courtney Summers,female,July 3 2013,1995,Kuwait,young-adult
336,Jen Sincero,female,January 11 2017,1975,Madagascar,humor-and-comedy
337,Kat Richardson,female,May 1 2014,1967,Guatemala,science-fiction-fantasy
338,Jean Plaidy,female,February 7 2019,1988,Jamaica,historical-fiction$history
339,Elle Kennedy,female,April 14 2011,1977,Antigua,romance
340,Yoshihiro Togashi,male,September 12 2009,1957,Solomon,comics-graphic-novels
341,Robin York,female,March 24 2015,1952,Indonesia,romance
342,George Eliot,female,June 25 2018,1976,United Kingdom,literature-fiction$poetry
343,Claire Kent,male,December 28 2007,1982,Ghana,romance
344,Lynelle Clark,male,March 27 2013,1951,Suriname,contemporary
345,Nikolas Lee,male,April 7 2018,1968,Sri Lanka,children-s
346,Fran Sorin,female,July 20 2015,1996,Morocco,gardening
347,Karen Marie Moning,female,October 16 2017,1967,Croatia,paranormal
348,K.B. Miller,male,November 24 2011,1994,Costa Rica,young-adult
349,Jordan Lynde,male,September 25 2009,1972,Sierra Leone,young-adult
350,Shari Lambert,female,November 25 2009,1979,Vatican,young-adult
351,Valia Lind,female,December 18 2019,1967,Belgium,young-adult
352,Alex Duval,male,November 10 2007,1978,Macedonia,science-fiction-fantasy$young-adult
353,Wataru Yoshizumi,female,January 19 2012,1965,Philippines,comics-graphic-novels$romance
354,Kerry Madden,female,September 21 2017,1968,Bhutan,children-s-books
355,C.V. Wedgwood,female,May 1 2012,1999,Somalia,history
356,Jennifer Bernard,female,August 1 2008,1960,Ivory Coast,romance
357,Sam B. Morgan,male,March 18 2007,1987,Liechtenstein,gay-and-lesbian
358,Sara Furlong Burr,female,May 10 2014,1987,Tobago,science-fiction
359,A.J.  Rose,male,April 4 2010,1986,South Africa,gay-lesbian
360,Giada De Laurentiis,female,October 5 2009,1964,Madagascar,cooking-food-wine
361,Sogyal Rinpoche,male,May 10 2012,1999,Kosovo,spirituality$self-help$non-fiction
362,Richard Dawkins,male,June 19 2007,1971,Cambodia,nonfiction$science
363,Tatjana Soli,male,December 12 2007,1958,Algeria,literature-fiction
364,Leona Windwalker,female,November 12 2018,1978,Spain,romance$gay-and-lesbian
365,Carl Jung,male,November 14 2015,1955,Djibouti,psychology$science
366,Kelly Creagh,male,February 8 2019,1956,Antigua,young-adult$horror
367,John Layman,male,May 20 2015,1980,Georgia,comics-graphic-novels
368,Brandilyn Collins,female,April 22 2012,1998,Qatar,suspense
369,Amber Kizer,female,August 8 2014,1993,Cape Verde,young-adult$literature-fiction
370,Graham Masterton,male,August 2 2010,1993,Botswana,horror-crime$health-mind-body
371,E.J. Copperman,male,June 2 2019,1983,Mozambique,mystery-thrillers$humor-and-comedy
372,Tessa Afshar,female,July 17 2019,1980,Denmark,historical-fiction
373,Carol Ryrie Brink,female,August 13 2012,1965,Grenada,children-s-books$literature-fiction
374,Lilly Singh,female,August 24 2015,1999,Welsh,self-help
375,Jessica Park,female,August 25 2012,1977,Cameroon,romance
376,Kimmery Martin,female,April 14 2012,1996,Palau,fiction$contemporary
377,William Makepeace Thackeray,male,December 9 2009,1953,San Marino,fiction
378,Rachel Caine,male,May 5 2019,1967,Tobago,thriller
379,Deborah Macgillivray,female,April 13 2012,1952,Argentina,romance
380,James D. Doss,male,May 16 2008,1960,Kiribati,mystery-thrillers
381,Elizabeth Borton de Treviño,female,August 2 2018,1974,Herzegovina,young-adult
382,Brooke McKinley,female,February 26 2015,1979,Trinidad,gay-lesbian$romance
383,Christine James,male,April 23 2018,1954,Laos,fiction
384,Sarah Rees Brennan,female,June 18 2007,1967,America,science-fiction-fantasy$young-adult
